word,count
said,16425
game,14056
year,12704
nfl,11111
one,10136
basketball,9787
team,9310
first,8813
time,8808
season,8322
player,7778
new,7516
like,7442
mr,7097
baseball,6853
two,6843
last,6495
would,6260
ncaa,6208
get,5911
