word,count
said,13686
year,8452
game,7112
mr,7005
one,6810
time,6148
team,5678
first,5636
new,5207
season,5006
like,4927
two,4826
would,4695
point,4298
last,4187
player,4182
also,3508
state,3444
people,3265
trump,3236
