word,count
nfl,10192
basketball,8221
ncaa,5545
baseball,5218
game,4728
nba,4074
draft,3256
golf,2678
mlb,2529
player,2443
team,2375
year,2213
one,2099
like,1882
get,1854
win,1770
championship,1732
first,1730
virginia,1566
time,1523
