word,count
golf,3537
said,3013
year,1879
mr,1835
trump,1616
one,1558
master,1541
time,1471
first,1076
two,1071
new,1066
like,1047
tournament,1012
day,991
last,951
would,942
week,893
get,866
round,843
hole,831
