word,count
baseball,6137
game,3861
said,3472
year,3204
season,2664
one,2448
mlb,2440
first,2262
team,2088
time,2029
two,1950
last,1820
run,1728
player,1722
new,1703
like,1681
hit,1639
day,1606
league,1528
mr,1514
